fecha,precio
21-04-19 04:04," 22,09 -  25,99"
21-04-19 04:04," 22,09 -  25,99"
21-04-19 04:04," 22,09 -  25,99"
23-04-19 17:04," 22,09 -  25,99"
24-04-19 16:04," 22,09 -  25,99"
24-04-19 16:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04,"<span id=""priceblock_ourprice"" class=""a-size-medium a-color-price priceBlockBuyingPriceString""> 22,09 -  25,99</span>"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
24-04-19 17:04," 22,09 -  25,99"
